farah@DESKTOP-4LG30UB:~/deploy$ kubectl get ingress -n sasoperator
NAME                                           CLASS   HOSTS                               ADDRESS        PORTS     AGE
sas-activities                                 nginx   farahmhamdi.com,*.farahmhamdi.com   4.207.76.208   80, 443   5h30m
sas-analytics-components                       nginx   farahmhamdi.com,*.farahmhamdi.com   4.207.76.208   80, 443   5h30m
sas-analytics-data-segmentation                nginx   farahmhamdi.com,*.farahmhamdi.com   4.207.76.208   80, 443   5h30m
sas-analytics-events                           nginx   farahmhamdi.com,*.farahmhamdi.com   4.207.76.208   80, 443   5h30m
sas-analytics-flows                            nginx   farahmhamdi.com,*.farahmhamdi.com   4.207.76.208   80, 443   5h30m
sas-analytics-gateway                          nginx   farahmhamdi.com,*.farahmhamdi.com   4.207.76.208   80, 443   5h30m
sas-analytics-localization                     nginx   farahmhamdi.com,*.farahmhamdi.com   4.207.76.208   80, 443   5h30m
sas-analytics-pipelines                        nginx   farahmhamdi.com,*.farahmhamdi.com   4.207.76.208   80, 443   5h30m
sas-analytics-validation                       nginx   farahmhamdi.com,*.farahmhamdi.com   4.207.76.208   80, 443   5h30m
sas-annotations                                nginx   farahmhamdi.com,*.farahmhamdi.com   4.207.76.208   80, 443   5h30m
sas-app-registry                               nginx   farahmhamdi.com,*.farahmhamdi.com   4.207.76.208   80, 443   5h30m
sas-audit                                      nginx   farahmhamdi.com,*.farahmhamdi.com   4.207.76.208   80, 443   5h30m
sas-authorization                              nginx   farahmhamdi.com,*.farahmhamdi.com   4.207.76.208   80, 443   5h30m
sas-batch                                      nginx   farahmhamdi.com,*.farahmhamdi.com   4.207.76.208   80, 443   5h30m
sas-business-rules                             nginx   farahmhamdi.com,*.farahmhamdi.com   4.207.76.208   80, 443   5h30m
sas-cas-access-management                      nginx   farahmhamdi.com,*.farahmhamdi.com   4.207.76.208   80, 443   5h30m
sas-cas-formats                                nginx   farahmhamdi.com,*.farahmhamdi.com   4.207.76.208   80, 443   5h30m
sas-cas-management                             nginx   farahmhamdi.com,*.farahmhamdi.com   4.207.76.208   80, 443   5h30m
sas-cas-proxy                                  nginx   farahmhamdi.com,*.farahmhamdi.com   4.207.76.208   80, 443   5h30m
