 kubectl get svc -n sasoperator
NAME                                             TYPE        CLUSTER-IP     EXTERNAL-IP   PORT(S)                                           AGE
sas-activities                                   ClusterIP   10.0.185.202   <none>        443/TCP                                           122m
sas-analytics-components                         ClusterIP   10.0.7.224     <none>        443/TCP                                           122m
sas-analytics-data-segmentation                  ClusterIP   10.0.83.3      <none>        443/TCP                                           122m
sas-analytics-events                             ClusterIP   10.0.41.7      <none>        443/TCP                                           122m
sas-analytics-flows                              ClusterIP   10.0.116.66    <none>        443/TCP                                           122m
sas-analytics-gateway                            ClusterIP   10.0.53.159    <none>        443/TCP                                           122m
sas-analytics-localization                       ClusterIP   10.0.157.12    <none>        443/TCP                                           122m
sas-analytics-pipelines                          ClusterIP   10.0.84.34     <none>        443/TCP                                           122m
sas-analytics-validation                         ClusterIP   10.0.128.47    <none>        443/TCP                                           122m
sas-annotations                                  ClusterIP   10.0.239.112   <none>        443/TCP                                           122m
sas-app-registry                                 ClusterIP   10.0.181.147   <none>        443/TCP                                           122m
sas-arke                                         ClusterIP   10.0.8.70      <none>        50051/TCP                                         122m
sas-audit                                        ClusterIP   10.0.233.137   <none>        443/TCP                                           122m
sas-authorization                                ClusterIP   10.0.110.28    <none>        443/TCP                                           122m
sas-batch                                        ClusterIP   10.0.73.19     <none>        443/TCP                                           122m
sas-business-rules                               ClusterIP   10.0.189.174   <none>        443/TCP                                           122m
sas-cachelocator                                 ClusterIP   None           <none>        443/TCP,10334/TCP                                 122m
sas-cacheserver                                  ClusterIP   None           <none>        443/TCP,14443/TCP,8080/TCP                        122m
sas-cas-access-management                        ClusterIP   10.0.216.31    <none>        443/TCP                                           122m
sas-cas-formats                                  ClusterIP   10.0.14.61     <none>        443/TCP                                           122m
sas-cas-management                               ClusterIP   10.0.106.92    <none>        443/TCP                                           122m
sas-cas-proxy                                    ClusterIP   10.0.229.44    <none>        443/TCP                                           122m
sas-cas-row-sets                                 ClusterIP   10.0.232.94    <none>        443/TCP                                           122m
sas-cas-server-default                           ClusterIP   None           <none>        <none>                                            115m
sas-cas-server-default-client                    ClusterIP   10.0.24.75     <none>        5570/TCP,8777/TCP                                 115m
sas-catalog                                      ClusterIP   10.0.205.226   <none>        443/TCP                                           122m
sas-catalog-table-bot                            ClusterIP   10.0.176.23    <none>        443/TCP                                           122m
sas-category-execution-provider                  ClusterIP   10.0.62.48     <none>        443/TCP                                           122m
sas-category-taxonomy                            ClusterIP   10.0.48.221    <none>        443/TCP                                           122m
sas-code-debugger                                ClusterIP   10.0.124.179   <none>        443/TCP                                           122m
sas-code-debugger-app                            ClusterIP   10.0.30.200    <none>        443/TCP                                           122m
sas-comments                                     ClusterIP   10.0.79.152    <none>        443/TCP                                           122m
sas-compute                                      ClusterIP   10.0.151.112   <none>        443/TCP                                           122m
sas-concept-execution-provider                   ClusterIP   10.0.81.79     <none>        443/TCP                                           122m
sas-concept-taxonomy                             ClusterIP   10.0.0.50      <none>        443/TCP                                           122m
sas-concepts                                     ClusterIP   10.0.182.77    <none>        443/TCP                                           122m
sas-config-reconciler                            ClusterIP   10.0.113.83    <none>        443/TCP                                           122m
sas-configuration                                ClusterIP   10.0.229.24    <none>        443/TCP                                           122m
sas-connect                                      ClusterIP   10.0.203.66    <none>        443/TCP                                           122m
sas-connect-spawner                              ClusterIP   10.0.65.145    <none>        443/TCP,17541/TCP,17551/TCP                       122m
sas-consul-server                                ClusterIP   10.0.139.226   <none>        8300/TCP,8301/TCP,8301/UDP,8500/TCP               122m
sas-consul-server-internal                       ClusterIP   None           <none>        8300/TCP,8301/TCP,8301/UDP,8500/TCP               122m
sas-conversation-designer-app                    ClusterIP   10.0.249.229   <none>        443/TCP                                           122m
sas-credentials                                  ClusterIP   10.0.102.100   <none>        443/TCP                                           122m
sas-crossdomainproxy                             ClusterIP   10.0.68.81     <none>        443/TCP                                           122m
sas-crunchy-data-postgres                        ClusterIP   10.0.191.177   <none>        10000/TCP,9187/TCP,2022/TCP,5432/TCP              122m
sas-crunchy-data-postgres-backrest-shared-repo   ClusterIP   10.0.140.190   <none>        2022/TCP                                          103m
sas-crunchy-data-postgres-operator               ClusterIP   10.0.49.183    <none>        8443/TCP,4171/TCP,4150/TCP                        122m
sas-crunchy-data-postgres-replica                ClusterIP   10.0.89.174    <none>        10000/TCP,9187/TCP,2022/TCP,5432/TCP              100m
sas-data-connections                             ClusterIP   10.0.93.218    <none>        443/TCP                                           122m
sas-data-discovery                               ClusterIP   10.0.189.207   <none>        443/TCP                                           122m
sas-data-explorer-app                            ClusterIP   10.0.160.163   <none>        443/TCP                                           122m
sas-data-flows                                   ClusterIP   10.0.6.85      <none>        443/TCP                                           122m
sas-data-mining                                  ClusterIP   10.0.56.138    <none>        443/TCP                                           122m
sas-data-mining-models                           ClusterIP   10.0.130.122   <none>        443/TCP                                           122m
sas-data-mining-project-resources                ClusterIP   10.0.122.66    <none>        443/TCP                                           122m
sas-data-mining-project-settings                 ClusterIP   10.0.239.77    <none>        443/TCP                                           122m
sas-data-mining-results                          ClusterIP   10.0.138.38    <none>        443/TCP                                           122m
sas-data-mining-warehouse                        ClusterIP   10.0.223.120   <none>        443/TCP                                           122m
sas-data-plans                                   ClusterIP   10.0.105.184   <none>        443/TCP                                           122m
sas-data-quality                                 ClusterIP   10.0.129.69    <none>        443/TCP                                           122m
sas-data-sources                                 ClusterIP   10.0.187.18    <none>        443/TCP                                           122m
sas-data-studio-app                              ClusterIP   10.0.233.207   <none>        443/TCP                                           122m
sas-data-tables                                  ClusterIP   10.0.165.188   <none>        443/TCP                                           122m
sas-decision-manager-app                         ClusterIP   10.0.105.226   <none>        443/TCP                                           122m
sas-decisions                                    ClusterIP   10.0.117.107   <none>        443/TCP                                           122m
sas-decisions-runtime-builder                    ClusterIP   10.0.126.118   <none>        443/TCP                                           122m
sas-deployment-data                              ClusterIP   10.0.155.63    <none>        443/TCP                                           122m
sas-device-management                            ClusterIP   10.0.23.224    <none>        443/TCP                                           122m
sas-discovery-table-provider                     ClusterIP   10.0.172.189   <none>        443/TCP                                           122m
sas-documents                                    ClusterIP   10.0.244.210   <none>        443/TCP                                           122m
sas-drive                                        ClusterIP   10.0.48.157    <none>        443/TCP                                           122m
sas-drive-app                                    ClusterIP   10.0.233.174   <none>        443/TCP                                           122m
sas-environment-manager-app                      ClusterIP   10.0.234.27    <none>        443/TCP                                           122m
sas-esp-ccs                                      ClusterIP   10.0.119.28    <none>        443/TCP                                           94m
sas-esp-ccs-pubsub                               ClusterIP   None           <none>        31416/TCP                                         94m
sas-event-monitor                                ClusterIP   10.0.30.219    <none>        443/TCP                                           122m
sas-event-stream-manager-app                     ClusterIP   10.0.247.226   <none>        443/TCP                                           122m
sas-event-stream-processing-metering-app         ClusterIP   10.0.171.21    <none>        443/TCP                                           122m
sas-event-stream-processing-streamviewer-app     ClusterIP   10.0.49.4      <none>        443/TCP                                           122m
sas-event-stream-processing-studio-app           ClusterIP   10.0.142.1     <none>        443/TCP                                           122m
sas-feature-flags                                ClusterIP   10.0.92.45     <none>        443/TCP                                           122m
sas-files                                        ClusterIP   10.0.3.225     <none>        443/TCP                                           122m
sas-folders                                      ClusterIP   10.0.45.100    <none>        443/TCP                                           122m
sas-fonts                                        ClusterIP   10.0.52.174    <none>        443/TCP                                           122m
sas-forecasting-comparison                       ClusterIP   10.0.245.147   <none>        443/TCP                                           122m
sas-forecasting-data-definition                  ClusterIP   10.0.18.53     <none>        443/TCP                                           122m
sas-forecasting-events                           ClusterIP   10.0.72.145    <none>        443/TCP                                           122m
sas-forecasting-exploration                      ClusterIP   10.0.129.160   <none>        443/TCP                                           122m
sas-forecasting-filters                          ClusterIP   10.0.127.251   <none>        443/TCP                                           122m
sas-forecasting-gateway                          ClusterIP   10.0.139.143   <none>        443/TCP                                           122m
sas-forecasting-models                           ClusterIP   10.0.110.211   <none>        443/TCP                                           122m
sas-forecasting-overrides                        ClusterIP   10.0.111.4     <none>        443/TCP                                           122m
sas-forecasting-pipelines                        ClusterIP   10.0.162.207   <none>        443/TCP                                           122m
sas-formats                                      ClusterIP   10.0.254.109   <none>        443/TCP                                           122m
sas-geo-enrichment                               ClusterIP   10.0.114.60    <none>        443/TCP                                           122m
sas-glossary                                     ClusterIP   10.0.240.195   <none>        443/TCP                                           122m
sas-graph-builder-app                            ClusterIP   10.0.187.60    <none>        443/TCP                                           122m
sas-graph-templates                              ClusterIP   10.0.171.158   <none>        443/TCP                                           122m
sas-identities                                   ClusterIP   10.0.252.182   <none>        443/TCP                                           122m
sas-import-9                                     ClusterIP   10.0.112.115   <none>        443/TCP                                           122m
sas-information-catalog-app                      ClusterIP   10.0.240.244   <none>        443/TCP                                           122m
sas-insights                                     ClusterIP   10.0.188.65    <none>        443/TCP                                           122m
sas-job-definitions                              ClusterIP   10.0.196.100   <none>        443/TCP                                           122m
sas-job-execution                                ClusterIP   10.0.12.115    <none>        443/TCP                                           122m
sas-job-execution-app                            ClusterIP   10.0.78.218    <none>        443/TCP                                           122m
sas-job-flow-scheduling                          ClusterIP   10.0.84.83     <none>        443/TCP                                           122m
sas-launcher                                     ClusterIP   10.0.75.148    <none>        443/TCP                                           122m
sas-licenses                                     ClusterIP   10.0.124.113   <none>        443/TCP                                           122m
sas-lineage-app                                  ClusterIP   10.0.7.33      <none>        443/TCP                                           122m
sas-links                                        ClusterIP   10.0.216.111   <none>        443/TCP                                           122m
sas-localization                                 ClusterIP   10.0.145.26    <none>        443/TCP                                           122m
sas-logon-app                                    ClusterIP   10.0.177.232   <none>        443/TCP                                           122m
sas-mail                                         ClusterIP   10.0.118.75    <none>        443/TCP                                           122m
sas-maps                                         ClusterIP   10.0.4.138     <none>        443/TCP                                           122m
sas-metering                                     ClusterIP   10.0.28.158    <none>        443/TCP                                           122m
sas-microanalytic-score                          ClusterIP   10.0.194.107   <none>        443/TCP                                           122m
sas-ml-pipeline-automation                       ClusterIP   10.0.184.237   <none>        443/TCP                                           122m
sas-model-management                             ClusterIP   10.0.192.93    <none>        443/TCP                                           122m
sas-model-manager-app                            ClusterIP   10.0.96.188    <none>        443/TCP                                           122m
sas-model-publish                                ClusterIP   10.0.45.132    <none>        443/TCP                                           122m
sas-model-repository                             ClusterIP   10.0.232.87    <none>        443/TCP                                           122m
sas-model-studio-app                             ClusterIP   10.0.219.83    <none>        443/TCP                                           122m
sas-natural-language-conversations               ClusterIP   10.0.200.4     <none>        443/TCP                                           122m
sas-natural-language-generation                  ClusterIP   10.0.251.126   <none>        443/TCP                                           122m
sas-natural-language-understanding               ClusterIP   10.0.131.174   <none>        443/TCP                                           122m
sas-notifications                                ClusterIP   10.0.72.222    <none>        443/TCP                                           122m
sas-office-addin-app                             ClusterIP   10.0.148.146   <none>        443/TCP                                           122m
sas-opendistro                                   ClusterIP   10.0.87.51     <none>        9200/TCP,9300/TCP                                 116m
sas-opendistro-discovery                         ClusterIP   None           <none>        9200/TCP,9300/TCP                                 116m
sas-opendistro-exporter                          ClusterIP   10.0.157.177   <none>        9114/TCP                                          122m
sas-parse-execution-provider                     ClusterIP   10.0.5.151     <none>        443/TCP                                           122m
sas-preferences                                  ClusterIP   10.0.108.142   <none>        443/TCP                                           122m
sas-qkb-management                               ClusterIP   10.0.62.212    <none>        443/TCP                                           122m
sas-rabbitmq-server                              ClusterIP   None           <none>        5672/TCP,15672/TCP,25672/TCP,4369/TCP,15692/TCP   122m
sas-readiness                                    ClusterIP   10.0.244.108   <none>        443/TCP                                           122m
sas-reference-data                               ClusterIP   10.0.212.2     <none>        443/TCP                                           122m
sas-relationships                                ClusterIP   10.0.220.154   <none>        443/TCP                                           122m
sas-report-alerts                                ClusterIP   10.0.117.58    <none>        443/TCP                                           122m
sas-report-data                                  ClusterIP   10.0.24.96     <none>        443/TCP,35001/TCP,35002/TCP,35003/TCP             122m
sas-report-distribution                          ClusterIP   10.0.2.99      <none>        443/TCP                                           122m
sas-report-images                                ClusterIP   10.0.31.56     <none>        443/TCP                                           122m
sas-report-operations                            ClusterIP   10.0.224.100   <none>        443/TCP                                           122m
sas-report-packages                              ClusterIP   10.0.177.221   <none>        443/TCP,35004/TCP,35005/TCP,35006/TCP             122m
sas-report-renderer                              ClusterIP   10.0.32.211    <none>        443/TCP                                           122m
sas-report-templates                             ClusterIP   10.0.71.155    <none>        443/TCP                                           122m
sas-report-transforms                            ClusterIP   10.0.68.176    <none>        443/TCP                                           122m
sas-reports                                      ClusterIP   10.0.160.111   <none>        443/TCP                                           122m
sas-row-sets                                     ClusterIP   10.0.100.110   <none>        443/TCP                                           122m
sas-scheduler                                    ClusterIP   10.0.73.117    <none>        443/TCP                                           122m
sas-score-definitions                            ClusterIP   10.0.101.43    <none>        443/TCP                                           122m
sas-score-execution                              ClusterIP   10.0.132.121   <none>        443/TCP                                           122m
sas-search                                       ClusterIP   10.0.245.83    <none>        443/TCP                                           122m
sas-search-index                                 ClusterIP   10.0.26.95     <none>        443/TCP                                           122m
sas-sentiment-execution-provider                 ClusterIP   10.0.218.177   <none>        443/TCP                                           122m
sas-studio                                       ClusterIP   10.0.129.199   <none>        443/TCP                                           122m
sas-studio-app                                   ClusterIP   10.0.172.52    <none>        443/TCP                                           122m
sas-studio-development                           ClusterIP   10.0.65.101    <none>        443/TCP                                           122m
sas-subject-contacts                             ClusterIP   10.0.222.171   <none>        443/TCP                                           122m
sas-templates                                    ClusterIP   10.0.239.217   <none>        443/TCP                                           122m
sas-terms-management                             ClusterIP   10.0.145.33    <none>        443/TCP                                           122m
sas-text-analytics                               ClusterIP   10.0.26.12     <none>        443/TCP                                           122m
sas-theme-content                                ClusterIP   10.0.21.27     <none>        443/TCP                                           122m
sas-theme-designer-app                           ClusterIP   10.0.175.165   <none>        443/TCP                                           122m
sas-themes                                       ClusterIP   10.0.214.230   <none>        443/TCP                                           122m
sas-thumbnails                                   ClusterIP   10.0.72.52     <none>        443/TCP                                           122m
sas-topic-execution-provider                     ClusterIP   10.0.2.227     <none>        443/TCP                                           122m
sas-topic-management                             ClusterIP   10.0.162.26    <none>        443/TCP                                           122m
sas-transfer                                     ClusterIP   10.0.161.186   <none>        443/TCP                                           122m
sas-transformations                              ClusterIP   10.0.208.170   <none>        443/TCP                                           122m
sas-treatment-definitions                        ClusterIP   10.0.32.0      <none>        443/TCP                                           122m
sas-types                                        ClusterIP   10.0.39.45     <none>        443/TCP                                           122m
sas-visual-analytics                             ClusterIP   10.0.161.212   <none>        443/TCP                                           122m
sas-visual-analytics-administration              ClusterIP   10.0.227.219   <none>        443/TCP                                           122m
sas-visual-analytics-app                         ClusterIP   10.0.153.21    <none>        443/TCP                                           122m
sas-web-data-access                              ClusterIP   10.0.51.32     <none>        443/TCP                                           122m
sas-webhooks                                     ClusterIP   10.0.7.28      <none>        443/TCP                                           122m
sas-workflow                                     ClusterIP   10.0.241.61    <none>        443/TCP                                           122m
sas-workflow-definition                          ClusterIP   10.0.204.106   <none>        443/TCP                                           122m
sas-workflow-history                             ClusterIP   10.0.207.22    <none>        443/TCP                                           122m
sas-workflow-manager-app                         ClusterIP   10.0.166.200   <none>        443/TCP                                           122m
