farah@DESKTOP-4LG30UB:~/deploy$ kubectl get pods -n sasoperator
NAME                                                              READY   STATUS             RESTARTS        AGE
backrest-backup-sas-crunchy-data-postgres-qhpzl                   0/1     Completed          0               10m
sas-activities-987669887-zrlbl                                    1/1     Running            0               32m
sas-analytics-events-58fc55b84-7wvkq                              1/1     Running            0               32m
sas-analytics-resources-94b4d489b-fr2xb                           1/1     Running            0               32m
sas-analytics-services-7d567b78f-r8stw                            1/1     Running            0               32m
sas-annotations-7fd4966cbd-sx5l9                                  1/1     Running            2 (3m6s ago)    32m
sas-app-registry-847d656599-wbdzq                                 1/1     Running            0               32m
sas-arke-6c7f8fcb46-gz692                                         1/1     Running            3 (14m ago)     32m
sas-arke-6c7f8fcb46-kz99j                                         1/1     Running            0               119s
sas-audit-5f6486b46c-4dhjn                                        1/1     Running            2 (2m29s ago)   32m
sas-authorization-d7cbf6657-vvppp                                 1/1     Running            0               32m
sas-batch-5dbdd8874c-lxldw                                        1/1     Running            0               32m
sas-business-rules-services-c5f86698-wktbq                        1/1     Running            0               32m
sas-cachelocator-0                                                1/1     Running            0               32m
sas-cachelocator-1                                                1/1     Running            0               11m
sas-cacheserver-0                                                 1/1     Running            0               32m
sas-cacheserver-1                                                 1/1     Running            0               32m
sas-cas-control-5cf9ffc96-vgmnq                                   1/1     Running            2 (7m18s ago)   32m
sas-cas-operator-f865d858d-t2zpr                                  1/1     Running            0               32m
sas-cas-server-default-controller                                 3/3     Running            0               4m55s
sas-catalog-services-7d6cdd4474-l82wp                             1/1     Running            0               32m
sas-category-execution-provider-86655f5b55-dzj7x                  1/1     Running            2 (7m15s ago)   32m
sas-category-taxonomy-5bbffdf849-d77dj                            1/1     Running            1 (3m39s ago)   32m
sas-code-debugger-7f99d6d967-ng29l                                1/1     Running            2 (7m12s ago)   32m
sas-code-debugger-app-f98dcd788-rkghn                             1/1     Running            4 (7m21s ago)   32m
sas-comments-7f57c8bcbf-7xr56                                     1/1     Running            1 (3m41s ago)   32m
sas-compute-6d5b655c85-mgdzx                                      1/1     Running            3 (2m7s ago)    32m
